fallacy,text
fallacy of relevance,"I want to sell my house for $400,000. A buyer wants it for $100,000, so I must sell it for $250,000."
ad populum,"Officer, I was only driving as fast as everyone around me. You can't give me a ticket for doing what every other driver on the road was also doing."
intentional,The model is in close agreement with the data.
faulty generalization,"Pol Pot, the Cambodian Maoist revolutionary, was against religion, and he was a very bad man.  Frankie is against religion; therefore, Frankie also must be a very bad man."
faulty generalization,"Brad's mother asked him why he wasn't trying out for the school play. He responded: ''Because if Tom gets the male lead, which he always does, then I'll only be in the chorus, and it's not worth being in the play if I'm only going to be in the chorus.'' This is an example of which logical fallacy?"
faulty generalization,"Exercise is good. Therefore everybody should exercise.'
""'I agree,' said Polly earnestly. 'I mean exercise is wonderful. I mean it builds the body and everything.'"
fallacy of extension,Students only want cell phones so they can text their friends in class; it's about time students focused more on their studies and less on their social lives.
faulty generalization,If we ban cell phones because they are bad for teenagers next the government will ban all iPods and eventually all video games as well.
ad hominem,She should not be voted president because she's a liar and a thief.
circular reasoning,This legislation is sinful because it is the wrong thing to do.
ad populum,"Verizon advertising the newest Samsung Galaxy phone, claiming that everyone else who has bought it loves the new product."
false dilemma,"""Either you recycle or you don't care about human life."""
false causality,"Dan White ate a lot of Twinkies and then killed the Mayor of San Francisco. If I were a mayor, I’d ban Twinkies so no one would kill me."
fallacy of relevance,"When an animal rights activist says, ""Keeping a dog as a pet is every bit as evil as human slavery. Pet owners are the KKK of the 21st century,"" they are committing what logical fallacy?"
false dilemma,"The museum's new gemstones and precious minerals exhibit needs more security guards. If you don't agree, then you must be planning to steal a piece of the exhibit"
false dilemma,"""Every person is either my enemy or my friend. If are my enemy I should hate them. If they are my friend I should love them So I should either love them or hate them."""
ad hominem,“How can you argue your case for vegetarianism when you are enjoying your steak?”
faulty generalization,"Bill: ""You know, those feminists all hate men."" Joe: ""Really?"" Bill: ""Yeah. I was in my philosophy class the other day and that Rachel chick gave a presentation."" Joe: ""Which Rachel?"" Bill: ""You know her. She's the one that runs that feminist group over at the Women's Center. She said that men are all sexist pigs. I asked her why she believed this and she said that her last few boyfriends were real sexist pigs. "" Joe: ""That doesn't sound like a good reason to believe that all of us are pigs."" Bill: ""That was what I said."" Joe: ""What did she say?"" Bill: ""She said that she had seen enough of men to know we are all pigs. She obviously hates all men."" Joe: ""So you think all feminists are like her?"" Bill: ""Sure. They all hate men."""
ad populum,", that makes it right/valid."
appeal to emotion,Aren't you tired of the political divisiveness in this country? Republicans know what they are talking about when it comes to immigration. Don't you agree?
ad populum,"a persuasive technique used in media messages that appeals to the ""everyone is doing it"" mentality"
intentional,"“No one has ever been able to prove definitively that extra-terrestrials exist, so they must not be real.”"
fallacy of credibility,Skipping looking for a second opinion or evidence and just asking one doctor is what fallacy?
